Frecuencias de nombres masculinos;;;
Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2016;;;
;;;
Nombres masculinos con frecuencia mayor o igual a 20 a nivel nacional.;;;
(*) Edad media de las personas que tienen ese nombre a nivel nacional.;;;
;;;
Orden;Nombre;Frecuencia;Edad Media (*)
219;JUAN BAUTISTA;12.057 ;56,0
220;CANDIDO;11.969 ;61,9
221;CARLOS JAVIER;11.954 ;39,0
222;ENRIC;11.907 ;40,3
223;ARMANDO;11.894 ;50,8
224;OLIVER;11.881 ;16,4
225;JUSTO;11.875 ;61,3
226;FLORENCIO;11.868 ;64,3
227;SANTOS;11.798 ;58,7
228;YOUSSEF;11.740 ;23,5
229;PEDRO LUIS;11.706 ;47,7
230;ALEIX;11.649 ;14,8
231;LEO;11.591 ;3,8
232;GINES;11.516 ;52,2
233;LEONARDO;11.314 ;41,6
234;RACHID;11.304 ;37,1
235;JOSE DAVID;11.163 ;30,7
236;JOSE JOAQUIN;11.144 ;47,0
237;YERAY;11.137 ;15,1
238;JUAN MARIA;11.044 ;51,8
239;EDUARD;10.897 ;32,4
240;EMILIANO;10.819 ;61,7
241;JULEN;10.806 ;16,2
242;SERAFIN;10.596 ;59,9
243;FAUSTINO;10.406 ;62,8
244;FRANCISCO ANTONIO;10.267 ;45,1
245;MAXIMO;10.052 ;55,2
246;JAIRO;9.975 ;20,4
247;JAN;9.928 ;11,8
248;EMILIO JOSE;9.901 ;35,9
249;FIDEL;9.869 ;57,5
250;ENEKO;9.858 ;17,8
251;JOSE ANDRES;9.838 ;44,5
252;LUIS ANTONIO;9.766 ;48,0
253;JESUS ANGEL;9.765 ;46,1
254;ALI;9.755 ;34,1
255;LUIS MARIA;9.742 ;54,2
256;EDGAR;9.693 ;21,6
257;RAMIRO;9.643 ;56,4
258;AMADOR;9.637 ;58,5
259;JULIO CESAR;9.555 ;42,7
260;CLAUDIO;9.423 ;53,1
261;LUIS ANGEL;9.419 ;45,9
262;MUSTAPHA;9.385 ;40,6
263;SIMON;9.317 ;41,5
264;ROGELIO;9.309 ;59,0
265;ION;9.075 ;40,0
266;IGOR;9.016 ;33,6
267;LUCIANO;8.965 ;60,1
268;MANUEL ANTONIO;8.861 ;48,1
269;JACOBO;8.828 ;27,3
270;FRANCISCO MIGUEL;8.786 ;41,0
271;ALEXIS;8.690 ;24,2
272;PEDRO MANUEL;8.688 ;43,6
273;EZEQUIEL;8.678 ;34,5
274;ALEXANDRE;8.676 ;28,0
275;MODESTO;8.627 ;62,5
276;FLORENTINO;8.609 ;64,7
277;JOAQUIM;8.551 ;49,7
278;ILDEFONSO;8.520 ;57,5
279;JUAN DIOS;8.400 ;48,6
280;JOSE FERNANDO;8.364 ;47,4
281;ANDREU;8.311 ;29,2
282;PAULINO;8.127 ;62,4
283;JUAN VICENTE;8.126 ;48,2
284;BIEL;8.112 ;6,6
285;HASSAN;8.064 ;40,7
286;MANUEL JOSE;7.955 ;47,4
287;JUAN DIEGO;7.938 ;32,5
288;CELESTINO;7.913 ;63,0
289;JOSE DANIEL;7.892 ;34,7
290;CONSTANTINO;7.890 ;59,7
291;AVELINO;7.889 ;63,6
292;LEANDRO;7.859 ;49,1
293;ELADIO;7.849 ;61,6
294;GHEORGHE;7.844 ;45,9
295;CARLOS MANUEL;7.843 ;41,2
296;ANTONIO JAVIER;7.823 ;38,4
297;VASILE;7.797 ;43,4
298;SATURNINO;7.769 ;66,2
299;IAN;7.759 ;10,8
300;ANTONIO MIGUEL;7.754 ;43,0
301;NIL;7.690 ;9,2
302;JUAN ANDRES;7.677 ;43,6
303;ANTONIO LUIS;7.662 ;45,4
304;LUIS JAVIER;7.567 ;44,0
305;YAGO;7.538 ;12,1
306;PEDRO MARIA;7.524 ;56,3
307;CAYETANO;7.520 ;45,9
308;RUFINO;7.474 ;64,6
309;JORGE LUIS;7.416 ;40,9
310;PEDRO JESUS;7.351 ;40,2
311;LUIS CARLOS;7.285 ;44,8
312;JOSUE;7.247 ;25,0
313;IOAN;7.151 ;45,5
314;FABIAN;7.076 ;34,2
315;JUAN ANGEL;7.053 ;46,8
316;NESTOR;7.043 ;29,3
317;FRANCESC XAVIER;7.010 ;45,9
318;ROBERT;6.970 ;36,6
319;MANEL;6.958 ;32,6
320;IBAI;6.953 ;13,2
321;ANGEL MANUEL;6.933 ;42,3
322;GASPAR;6.904 ;55,8
323;IAGO;6.832 ;15,1
324;CLEMENTE;6.794 ;59,7
325;MUHAMMAD;6.759 ;34,9
326;IMANOL;6.728 ;28,4
327;KHALID;6.665 ;34,8
328;MAURO;6.663 ;21,5
329;BASILIO;6.643 ;59,7
330;ARITZ;6.622 ;19,3
331;FELICIANO;6.612 ;64,2
332;RAIMUNDO;6.552 ;59,3
333;RICARD;6.499 ;36,2
334;HILARIO;6.450 ;62,5
335;MARCELO;6.423 ;47,0
336;AIMAR;6.328 ;8,5
337;ABDELLAH;6.315 ;39,2
338;ANDONI;6.272 ;29,1
339;EVARISTO;6.230 ;61,3
340;ABDELKADER;6.090 ;44,8
341;JUAN ALBERTO;6.061 ;40,0
342;MARCIAL;6.056 ;59,3
343;JOSU;6.050 ;30,5
344;JESUS ANTONIO;6.011 ;48,5
345;ANGEL MARIA;5.987 ;52,4
346;LAUREANO;5.973 ;61,2
347;ELISEO;5.938 ;59,8
348;CONSTANTIN;5.910 ;43,2
349;ENZO;5.896 ;4,3
350;OIER;5.873 ;12,1
351;BENIGNO;5.870 ;64,4
352;FERNANDO JOSE;5.868 ;41,4
353;JOSEBA;5.868 ;32,9
354;NARCISO;5.852 ;60,9
355;MARKEL;5.827 ;10,0
356;BRAIS;5.784 ;13,8
357;RAYAN;5.778 ;4,6
358;BERNAT;5.740 ;21,7
359;ROBERTO CARLOS;5.740 ;34,1
360;HICHAM;5.738 ;31,2
361;BERNARDINO;5.735 ;61,7
362;CECILIO;5.725 ;61,0
363;PATRICIO;5.718 ;52,3
364;SEGUNDO;5.714 ;65,8
365;LUIS ENRIQUE;5.636 ;40,9
366;MARCEL;5.551 ;29,6
367;PEDRO PABLO;5.533 ;44,9
368;BILAL;5.529 ;14,9
369;LEOPOLDO;5.489 ;57,2
370;MARIAN;5.456 ;38,9
371;VALERIANO;5.442 ;62,8
372;ANTONIO FRANCISCO;5.429 ;44,6
373;LUCA;5.398 ;13,6
374;BRAHIM;5.391 ;36,4
375;DIDAC;5.391 ;16,5
376;FABIO;5.381 ;23,0
377;FRANCISCO LUIS;5.380 ;46,7
378;DEMETRIO;5.354 ;63,2
379;ALAN;5.343 ;20,2
380;HAMZA;5.339 ;16,0
381;AYOUB;5.310 ;12,3
382;CAMILO;5.273 ;54,2
383;CESAREO;5.241 ;62,9
384;ABDELAZIZ;5.204 ;41,5
385;MAURICIO;5.165 ;46,4
386;PEDRO JAVIER;5.091 ;38,0
387;FLORIN;5.043 ;35,6
388;ANASTASIO;5.013 ;66,4
389;ANTON;4.981 ;24,1
390;NICOLAE;4.967 ;42,3
391;CIPRIANO;4.954 ;64,6
